title,summary,genre,attendance,year
We Always Lie to Strangers,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",(no genres listed),88831,2007-02-04
Lars and the Real Girl,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.",Comedy|Drama,32602,2009-02-23
"Unsinkable Molly Brown, The","Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",Musical,65373,1997-12-24
Journey for Margaret,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,Drama|War,74167,2006-03-25
Chico & Rita,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Animation|Musical|Romance,22373,1999-08-24
Ain't Them Bodies Saints,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,Drama,75257,2019-11-26
Apollo 13: To the Edge and Back,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,Documentary,80774,2000-12-25
Superhero Movie,Nulla tellus. In sagittis dui vel nisl.,Action|Comedy|Sci-Fi,3846,1994-05-24
True Believer,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,Crime,98107,1998-09-16
Somm,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,Documentary,60050,1997-11-15
Beat the Devil,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Adventure|Comedy|Crime|Drama|Romance,91657,2016-05-09
"Dragonphoenix Chronicles: Indomitable, The","Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Action|Adventure|Fantasy,58167,2004-09-27
Escape from Alcatraz,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,Drama|Thriller,42245,2015-10-04
The Second Best Exotic Marigold Hotel,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,Comedy|Drama,25579,2006-07-12
Jack-Jack Attack,Phasellus in felis. Donec semper sapien a libero.,Adventure|Animation|Children|Comedy,11039,2015-05-25
"Nightmare on Elm Street 5: The Dream Child, A","Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",Horror,54111,2011-04-20
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,Comedy|War,18329,2015-01-14
Hoodwinked!,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",Animation|Children|Comedy,55680,2012-06-13
Big Bad Mama,Aenean sit amet justo. Morbi ut odio.,Action|Comedy,62405,2012-08-18
Mad Dog Time,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,Crime,14861,2011-02-12
Best Foot Forward,Etiam vel augue. Vestibulum rutrum rutrum neque.,Comedy|Musical,73075,2022-02-12
Colt 38 Special Squad,Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,Action|Crime|Drama|Thriller,47241,2015-09-06
Blues in the Night,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",Drama|Film-Noir|Musical,82036,2016-03-20
"Children of the Century, The (Enfants du siècle, Les)","Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",Drama|Romance,59308,2011-02-22
Robinson Crusoe on Mars,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",Sci-Fi,74058,1994-02-16
"Enforcer, The","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",Crime|Drama|Film-Noir,64398,2011-07-05
Tiny Toon Adventures: How I Spent My Vacation,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",Adventure|Animation|Comedy,52449,2017-04-04
Serial (Bad) Weddings (Qu'est-ce Qu'on An Fit Au Bon Dieu?),Ut at dolor quis odio consequat varius. Integer ac leo.,Comedy|Romance,47034,2010-11-17
Soul Plane,Etiam justo. Etiam pretium iaculis justo.,Comedy,77007,2002-04-08
Step Up All In,Praesent blandit. Nam nulla.,Drama|Musical|Romance,1727,2019-06-03
Road to Bali,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",Comedy|Musical,59118,2008-01-19
Irene in Time,Nulla tellus. In sagittis dui vel nisl.,Comedy|Drama|Romance,20320,2006-10-04
Drunks,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,Drama,38179,2014-09-10
Outer Space,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Animation|Horror,79433,2018-04-08
Stake Land,Suspendisse accumsan tortor quis turpis. Sed ante.,Horror,50389,2017-08-23
Super Size Me,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,Comedy|Documentary|Drama,5872,2002-06-16
"Bugs Bunny / Road Runner Movie, The (a.k.a. The Great American Chase)","Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",Animation|Children|Comedy,28569,1999-03-10
Screamers: The Hunting,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Sci-Fi|Thriller,57302,1999-07-27
Adventures of Power,Duis mattis egestas metus. Aenean fermentum.,Comedy|Musical,99418,1995-03-22
Thelma & Louise,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",Adventure|Crime|Drama,45945,2001-01-03
American Pie Presents: The Book of Love (American Pie 7: The Book of Love),Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,Comedy,79072,2018-05-13
Thunderbolt (Pik lik feng),Sed accumsan felis. Ut at dolor quis odio consequat varius.,Action|Crime,29038,2021-03-30
It's Kind of a Funny Story,Integer a nibh. In quis justo.,Comedy|Drama,73875,1996-05-27
How I Got Into College,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",Comedy|Romance,22788,2009-11-27
Ted Bundy,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Crime|Drama|Thriller,61129,1997-11-11
Army of Crime (L'armée du crime),Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,Drama|Thriller|War,93658,2001-05-24
"Lady in Number 6: Music Saved My Life, The",Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,Documentary|Drama,67186,2016-07-21
Calamari Union,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,Comedy,49677,2020-06-15
7 Days in Havana,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,Drama,95705,2009-11-25
Half Light,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.,Romance|Thriller,38806,2017-03-17
Kandahar (Safar e Ghandehar),Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.,Drama,78471,2004-12-25
Paul,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Adventure|Comedy|Sci-Fi,7083,1994-02-04
Our Man in Havana,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,Comedy|Drama|Thriller,51435,1990-11-05
Immaculate Conception of Little Dizzle,Suspendisse accumsan tortor quis turpis. Sed ante.,Comedy,19717,2017-09-30
Night of the Living Dead 3D,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,Adventure|Comedy|Fantasy|Horror,88256,1998-08-14
Joe and Max,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",Drama|War,51405,1995-12-14
"Carey Treatment, The","Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",Mystery,2415,1992-02-24
"Last Days of Pompeii, The",Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,Adventure|Drama,56829,2012-01-28
Microcosmos (Microcosmos: Le peuple de l'herbe),"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",Documentary,56267,1998-03-19
"Chronicles of Narnia: The Voyage of the Dawn Treader, The","Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",Adventure|Children|Fantasy,79959,2009-02-12
"Temptations, The","Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",Drama|Musical,50935,2017-01-14
"Last Emperor, The","Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.",Drama,89144,2013-09-02
Suburbia,Sed ante. Vivamus tortor. Duis mattis egestas metus.,Drama,70940,1996-12-18
Eat a Bowl of Tea,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,Romance,12688,2013-04-29
Easy Virtue,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",Drama,92618,1991-12-21
Kon-Tiki,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",Adventure|Documentary|Drama,47219,1991-07-01
Taqwacore: The Birth of Punk Islam,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.,Documentary,49137,2004-08-26
Rush Hour,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",Action|Comedy|Crime|Thriller,47767,2000-02-25
"Enforcer, The (Gei ba ba de xin)",Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,Action,38929,1999-11-16
Love Is News,Pellentesque at nulla. Suspendisse potenti.,Comedy|Romance,87900,2001-04-26
American Adobo,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",Comedy,16757,2011-10-19
Love Letters,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",Drama|Mystery|Romance,73826,2020-11-27
Jack Brooks: Monster Slayer,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,Action|Comedy|Horror,33791,2002-07-27
